cluster_id,profile_file,row_in_file,radius_deg,radius_arcsec,pm_disp_p02_masyr,pm_disp_p16_masyr,pm_disp_p50_masyr,pm_disp_p84_masyr,pm_disp_p98_masyr,pm_rot_p02_masyr,pm_rot_p16_masyr,pm_rot_p50_masyr,pm_rot_p84_masyr,pm_rot_p98_masyr,pm_rot_aux_masyr
NGC0104,profiles/NGC_104_47Tuc.txt,27,0.173333,623.9988,0.299963,0.301769,0.303412,0.30498,0.306322,-0.233996,-0.226279,-0.219054,-0.211573,-0.203979,-0.240551
NGC0104,profiles/NGC_104_47Tuc.txt,28,0.18,648.0,0.294639,0.296328,0.297897,0.299504,0.300807,-0.225875,-0.218373,-0.211049,-0.203412,-0.196117,-0.237435
NGC0104,profiles/NGC_104_47Tuc.txt,29,0.186667,672.0012,0.289386,0.291131,0.292669,0.294251,0.29562,-0.218292,-0.210577,-0.203237,-0.195568,-0.187937,-0.234197
NGC0104,profiles/NGC_104_47Tuc.txt,30,0.193333,695.9988000000001,0.284254,0.28608,0.287682,0.289295,0.290718,-0.211206,-0.203358,-0.195664,-0.188036,-0.179982,-0.230868
NGC0104,profiles/NGC_104_47Tuc.txt,31,0.2,720.0,0.279318,0.281248,0.28286,0.284511,0.286067,-0.204453,-0.196482,-0.188589,-0.180932,-0.172861,-0.227479
NGC0104,profiles/NGC_104_47Tuc.txt,32,0.206667,744.0011999999999,0.274542,0.276595,0.278259,0.279925,0.281618,-0.19817,-0.19032,-0.182236,-0.174517,-0.166303,-0.224053
NGC0104,profiles/NGC_104_47Tuc.txt,33,0.213333,767.9988,0.270074,0.272123,0.273847,0.275522,0.277335,-0.192508,-0.184644,-0.176565,-0.16876,-0.160324,-0.22061
NGC0104,profiles/NGC_104_47Tuc.txt,34,0.22,792.0,0.265871,0.267894,0.269634,0.2713,0.273094,-0.187285,-0.179552,-0.171545,-0.163475,-0.155368,-0.217167
NGC0104,profiles/NGC_104_47Tuc.txt,35,0.226667,816.0012,0.261852,0.263858,0.265584,0.267279,0.269019,-0.182761,-0.175027,-0.166928,-0.158869,-0.150777,-0.213737
NGC0104,profiles/NGC_104_47Tuc.txt,36,0.233333,839.9988000000001,0.258029,0.260032,0.261705,0.263433,0.26508,-0.178622,-0.170834,-0.162845,-0.154845,-0.146649,-0.210332
NGC0104,profiles/NGC_104_47Tuc.txt,37,0.24,864.0,0.254369,0.256384,0.258001,0.259685,0.261325,-0.174728,-0.167282,-0.159255,-0.151252,-0.143081,-0.206961
NGC0104,profiles/NGC_104_47Tuc.txt,38,0.246667,888.0012,0.250941,0.252896,0.254472,0.256074,0.257585,-0.171471,-0.164054,-0.156127,-0.148171,-0.139903,-0.203632
NGC0104,profiles/NGC_104_47Tuc.txt,39,0.253333,911.9988,0.247667,0.249594,0.251092,0.25262,0.254107,-0.168731,-0.161056,-0.153383,-0.145443,-0.137108,-0.20035
NGC0104,profiles/NGC_104_47Tuc.txt,40,0.26,936.0,0.244495,0.246409,0.247831,0.249295,0.250734,-0.165878,-0.158563,-0.150964,-0.14305,-0.134698,-0.197122
