cluster_id,GC_NAME_mode,N_apogee_total,N_apogee_highprob,RV_median_kms,RV_sigma_kms,FE_H_median,FE_H_sigma,FE_H_iqr,FE_H_N,M_H_median,M_H_sigma,M_H_iqr,M_H_N,ALPHA_M_median,ALPHA_M_sigma,ALPHA_M_iqr,ALPHA_M_N,C_FE_median,C_FE_sigma,C_FE_iqr,C_FE_N,N_FE_median,N_FE_sigma,N_FE_iqr,N_FE_N,O_FE_median,O_FE_sigma,O_FE_iqr,O_FE_N,NA_FE_median,NA_FE_sigma,NA_FE_iqr,NA_FE_N,MG_FE_median,MG_FE_sigma,MG_FE_iqr,MG_FE_N,AL_FE_median,AL_FE_sigma,AL_FE_iqr,AL_FE_N,SI_FE_median,SI_FE_sigma,SI_FE_iqr,SI_FE_N,CA_FE_median,CA_FE_sigma,CA_FE_iqr,CA_FE_N,TI_FE_median,TI_FE_sigma,TI_FE_iqr,TI_FE_N,NI_FE_median,NI_FE_sigma,NI_FE_iqr,NI_FE_N,CE_FE_median,CE_FE_sigma,CE_FE_iqr,CE_FE_N
NGC5904,NGC5904,259,259,54.55637,5.3786917,-1.20355,0.10474954,0.1102498769760131,250,-1.2127,0.10085428,0.1189000606536865,250,0.198205,0.06285335,0.0758674889802932,250,-0.28176498,0.2077269,0.3111414909362793,244,0.72909,0.4270898,0.5902799963951111,250,0.2724731,0.23487012,0.2797049880027771,245,-0.06529796,0.51936,0.5677999258041382,215,0.16777301,0.08433697,0.0891050100326538,249,0.078880906,0.3688574,0.5277500152587891,249,0.19054064,0.066814154,0.0611774027347564,250,0.25210503,0.14365804,0.0930425524711608,248,0.071308255,0.16094463,0.1531591117382049,242,-0.06410754,0.2091278,0.1092249751091003,248,-0.09996003,0.3238409,0.2862000167369842,244
NGC6093,NGC6093,3,3,17.442657,16.331593,-1.6057501,0.005161893,0.0036500692367553,2,-1.6375,0.4927047,0.4372000098228454,3,0.25473,0.0036133125,0.0025549829006195,2,-0.5815149,0.012239866,0.0086549520492553,2,0.38927,0.016574586,0.0117200016975402,2,0.36999303,0.093649365,0.0662201046943664,2,-0.48684794,0.47977197,0.3392499983310699,2,0.23862803,0.045700334,0.0323150157928466,2,-0.14516902,0.22012237,0.1556500196456909,2,0.31465566,0.014488569,0.0102449655532836,2,0.17847502,0.1022051,0.0722699165344238,2,0.044547677,0.20113723,0.1422255039215088,2,0.025392532,0.09560085,0.0676000118255615,2,-0.41715997,0.2825598,0.1997999250888824,2
NGC6121,NGC6121,224,222,71.4986,3.350663,-1.0473,0.10144072,0.0590999126434326,221,-1.025,0.098142385,0.0659999847412109,221,0.32745498,0.04107644,0.0268999934196472,221,-0.050890923,0.11363329,0.1196928024291992,221,0.84194005,0.4542186,0.6212599277496338,221,0.387833,0.104684144,0.1229900121688842,221,0.07025206,0.5002763,0.5791599750518799,215,0.345573,0.053373773,0.0424599051475524,221,0.45623094,0.12590651,0.1369999647140503,221,0.37294054,0.05893374,0.042009949684143,221,0.28703496,0.120865695,0.0581524223089218,220,0.11846265,0.149757,0.1009375005960464,218,0.061792433,0.06678552,0.0443999171257019,221,0.19288993,0.27524772,0.2770500183105469,221
NGC6144,NGC6144,1,1,187.61105,,-1.8209,,0.0,1,-1.8387,,0.0,1,0.468665,,0.0,1,-1.0253,,0.0,1,1.9820999,,0.0,1,0.7027328,,0.0,1,,,,0,0.5347229,,0.0,1,-0.28511906,,0.0,1,0.4355005,,0.0,1,0.60172486,,0.0,1,0.669543,,0.0,1,,,,0,0.97643995,,0.0,1
NGC6171,NGC6171,65,63,-34.454197,2.7261019,-0.99287,0.10382358,0.138925015926361,63,-0.98645,0.10108878,0.1324949860572815,63,0.31857502,0.03689266,0.0437600314617157,63,-0.01807934,0.11906309,0.1438370645046234,63,0.8166799,0.4360812,0.6897249817848206,63,0.41721302,0.17035416,0.2175249755382537,63,0.0037119687,0.6205214,0.9534549713134766,50,0.32694298,0.06609697,0.0658300220966339,63,0.29617107,0.13371292,0.2036849558353424,63,0.3303805,0.046213653,0.0505550503730773,63,0.262895,0.068446346,0.079954981803894,63,0.18606317,0.1846586,0.1645269989967346,61,0.058412492,0.09802411,0.0581549704074859,63,0.14481997,0.289827,0.2726100087165832,61
NGC6205,NGC6205,152,146,-246.19695,5.4442935,-1.48365,0.093395375,0.0903249979019165,146,-1.4666,0.10897231,0.1365250051021576,146,0.15757501,0.088448726,0.1205242443829774,146,-0.399175,0.2511543,0.3730024695396423,146,0.79729503,0.38235718,0.4269700497388839,146,0.16000497,0.23752101,0.2762330770492553,141,0.3477021,0.42099884,0.5160449743270874,132,0.08571577,0.1419074,0.1874295175075531,146,0.428851,0.44785285,0.8352725505828857,146,0.20328557,0.07371135,0.0863539278507232,146,0.23027498,0.13723005,0.1376625895500183,144,0.0004042387,0.1953712,0.207392930984497,141,-0.026857436,0.13474897,0.126099944114685,144,-0.09386003,0.33478507,0.2788000106811523,141
NGC6218,NGC6218,107,106,-41.18573,3.0647333,-1.2713001,0.06167461,0.046049952507019,106,-1.2783,0.062555805,0.0624000132083892,106,0.28834,0.04214593,0.055635005235672,106,-0.17007005,0.20367424,0.2594578862190246,106,0.62347996,0.40943646,0.6339423656463623,106,0.32731295,0.14247276,0.1573500633239746,105,0.11220205,0.49332947,0.6366450190544128,87,0.306663,0.056686934,0.0712900757789611,106,0.06458098,0.17290577,0.2557099163532257,106,0.26731563,0.048455495,0.0541050881147384,106,0.25867498,0.10416793,0.1077600717544555,105,0.017568111,0.166227,0.1568069458007812,97,0.008392632,0.14447732,0.0991999208927154,106,-0.18285996,0.30591658,0.3398000001907348,100
NGC6254,NGC6254,87,87,76.348145,4.1876144,-1.5106,0.074179396,0.0889999866485595,87,-1.4944,0.091990136,0.1185500025749206,87,0.252495,0.08808356,0.1546500027179718,87,-0.3951,0.17677015,0.2246500849723816,87,0.5186,0.48038572,0.6403450071811676,87,0.31370294,0.1813662,0.2649571299552917,87,-0.06604797,0.48374528,0.7626500129699707,62,0.24950314,0.1125927,0.1523169875144958,87,-0.07881904,0.47210455,0.9134050011634828,87,0.25364053,0.044527642,0.054265022277832,87,0.26273,0.13632953,0.1179099082946777,86,-0.049946904,0.155929,0.1550170183181762,85,-0.011707425,0.07706227,0.0824499130249023,87,-0.38541,0.27850467,0.4983499944210052,84
NGC6304,NGC6304,34,30,-108.2039,3.964416,-0.479975,0.056740597,0.055727481842041,30,-0.465715,0.051435303,0.05758748203516,30,0.243015,0.0389905,0.0367624834179878,30,-0.013514996,0.2455664,0.4001897424459457,30,0.75756,0.4367127,0.8845774941146374,30,0.288523,0.10563784,0.1022224724292755,30,0.259157,0.5414504,0.5137785077095032,28,0.298913,0.052264515,0.0394475162029266,30,0.29189,0.11939209,0.1856100261211395,29,0.20248058,0.039602753,0.0567025318741798,30,0.15834501,0.05300141,0.0812374725937843,30,0.20170319,0.14021988,0.200684979557991,27,0.084027514,0.04850851,0.0508074834942817,30,-0.0025850087,0.17274982,0.2656375169754028,26
NGC6341,NGC6341,80,78,-119.9656,4.645636,-2.2345,0.07970297,0.0880002975463867,75,-2.1542,0.116689734,0.1589000225067138,73,0.16944501,0.14679238,0.2488180100917816,73,-0.18070984,0.43384886,0.7627750039100647,75,1.01438,0.525249,0.5151350498199463,75,0.36823297,0.2978526,0.3370357751846313,72,0.6449021,0.5639756,0.9728997945785522,33,0.23133302,0.20904338,0.3198450803756714,75,0.45898098,0.3404111,0.4094750881195068,66,0.3328905,0.07337639,0.0860450863838195,75,0.32367486,0.42836463,0.5990867018699646,66,0.28083324,0.41984987,0.6326451301574707,42,0.082042456,0.19392161,0.2608999907970428,28,0.27854013,0.29767042,0.4542000293731689,21
NGC6397,NGC6397,187,187,19.025831,3.6824613,-2.0184,0.06528539,0.0651500225067138,172,-1.9202499,0.09515995,0.144225001335144,172,0.16668001,0.09952003,0.145622506737709,172,0.12809402,0.3224324,0.3797923326492309,172,0.6267401,0.46486768,0.500329852104187,172,0.30537307,0.24748543,0.2323130369186401,169,0.43825203,0.56236076,0.7948000431060791,76,0.28871,0.07848326,0.1026181578636169,172,0.40888107,0.371668,0.5923997759819031,171,0.29735053,0.052786388,0.059787631034851,172,0.33781505,0.3325546,0.374860405921936,157,0.047969222,0.38558793,0.554840087890625,119,0.03759253,0.1861851,0.1891752183437347,158,-0.070359945,0.42547166,0.5994999408721924,75
