cluster_id,APOGEE_ID,GC_NAME,dPOS,dRV,dPM,dFeH,RV_Prob,VB_PROB,iFlag,RA,DEC,GLON,GLAT,J,H,K,SNR,VHELIO_AVG,VSCATTER,VERR,GAIAEDR3_SOURCE_ID,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_PHOT_G_MEAN_MAG,TEFF,TEFF_ERR,LOGG,LOGG_ERR,M_H,M_H_ERR,ALPHA_M,ALPHA_M_ERR,C_FE,C_FE_ERR,CI_FE,CI_FE_ERR,N_FE,N_FE_ERR,O_FE,O_FE_ERR,NA_FE,NA_FE_ERR,MG_FE,MG_FE_ERR,AL_FE,AL_FE_ERR,SI_FE,SI_FE_ERR,CA_FE,CA_FE_ERR,TI_FE,TI_FE_ERR,FE_H,FE_H_ERR,NI_FE,NI_FE_ERR,CE_FE,CE_FE_ERR,MEMBERFLAG,MEMBER,is_highprob_member,source_file
NGC0104,2M00205919-7204494,NGC0104,0.1535904437931751,0.1520254611968994,0.0992565006017685,-1.3712085485458374,0.7480811476707458,1.0,0,5.246642,-72.080414,306.22811361748234,-44.85240080325166,12.543,12.119,12.026,105.335304,-15.625695,0.03051653,0.06742232,4689618822796728064,0.18300842,0.0121368,5.2206073,0.0139795,-2.4945626,0.0133713,13.8173,5242.205,21.01578,2.2800705,0.04252708,-0.80546,0.011050301,0.272555,0.014328621,-0.6135199,0.04726066,-0.6877599,0.061934985,1.2578701,0.04766636,0.30352306,0.0706778,-1.359668,0.2274612,0.27782303,0.02345853,0.375821,0.0340745,0.29115063,0.028211506,0.18306506,0.035081834,0.2110532,0.05233691,-0.82673,0.011662815,0.07604247,0.02920333,-0.19919002,0.19149715,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00210508-7206137,NGC0104,0.1493443769587397,0.7119072079658508,0.5953208208084106,0.0966272726655006,0.5698245167732239,0.99999,0,5.271194,-72.103813,306.21213570178725,-44.83057984006639,12.484,11.99,11.904,108.458786,-8.907114,0.09261442,0.07029336,4689618547918514304,0.21590869,0.0122162,5.54563,0.0143681,-2.8068092,0.0134148,13.8665,5068.9536,17.844818,2.421154,0.040098615,-0.71809,0.010849566,0.294155,0.012899744,0.09841901,0.037890118,0.14567,0.05494062,0.06560397,0.03956775,0.489873,0.05211909,-0.69472796,0.18623427,0.347543,0.021897038,0.292081,0.03358604,0.28512058,0.026305139,0.18294501,0.031832743,0.21793318,0.045599103,-0.73687,0.011761194,0.06517249,0.026977839,-0.24579,0.15549874,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00212421-7209063,NGC0104,0.1402322069509863,0.3013596534729004,0.6472837924957275,0.0437030419707298,0.7196892499923706,1.0,0,5.350889,-72.151756,306.16699680449017,-44.78732278738067,12.274,11.767,11.687,126.66914,-13.833685,0.16437303,0.047226783,4689614802707076864,0.1849451,0.011647,5.4195957,0.013209,-2.9401617,0.0131497,13.6291,5072.8623,16.303421,2.2347863,0.037753165,-0.73119,0.009976757,0.268615,0.011965282,-0.13840002,0.03475053,-0.15390003,0.049969986,1.0237199,0.036762964,0.26900294,0.04769327,0.34134197,0.17066427,0.32217297,0.020293506,0.25707096,0.029850498,0.28751054,0.023980318,0.11852497,0.028849373,0.2097531,0.041443307,-0.74011,0.010757119,0.054712474,0.024190454,-0.23934,0.1390015,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00212577-7207503,NGC0104,0.1352872987956083,0.4544195234775543,2.4542527198791504,-0.8288963437080383,0.6772334575653076,0.96512,1,5.357392,-72.130646,306.1690980006515,-44.808474301054446,11.848,11.418,11.341,114.63716,-11.996966,0.22592267,0.061863188,4689617826353152512,0.5263711,0.29996,3.7728462,0.355289,-1.9274416,0.306612,13.7893,5228.471,19.951157,2.274452,0.04098043,-0.77937,0.010607944,0.237415,0.013599778,-0.40292996,0.044050507,-0.37839,0.058417387,1.1524,0.04496635,0.26074302,0.06576946,0.542442,0.21199547,0.26719302,0.022401405,0.42333102,0.03248464,0.2442506,0.026857916,0.07266599,0.033040095,0.12925321,0.04943163,-0.79957,0.011231433,0.098472476,0.027494296,-0.62948996,0.18027942,0,,1,GC_members_VAC-v1_1.fits
NGC0104,2M00212605-7209404,NGC0104,0.1408718296757576,0.7541249394416809,0.7986971735954285,-0.6395772099494934,0.5476819276809692,0.99995,0,5.358558,-72.161232,306.1615443159511,-44.77835956920029,12.517,12.025,11.971,116.083145,-8.400501,0.13934717,0.05405054,4689614733987611136,0.21114172,0.0136323,4.729445,0.014963,-2.5658028,0.0150544,13.864,5078.961,17.275736,2.3053339,0.039631497,-0.77099,0.010544974,0.287665,0.012804907,0.045806944,0.03780731,0.093525946,0.05378025,0.69636995,0.03941425,0.31223297,0.051551357,-0.707358,0.18630257,0.36251298,0.02156048,0.279881,0.031751238,0.2565006,0.025531707,0.14902496,0.031179724,0.14563316,0.04439411,-0.78194,0.011327194,0.043682456,0.026172727,-0.20866,0.14815955,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00212932-7153001,NGC0104,0.1814494224467248,-0.5998474955558777,0.1884947270154953,-0.8927651047706604,0.7405945658683777,1.0,0,5.372183,-71.883385,306.2200005445834,-45.05313787744236,12.478,12.044,11.971,121.094055,-24.64817,0.06403186,0.056854654,4689812577351619328,0.19040425,0.0126784,5.157566,0.0132854,-2.4718847,0.0141942,13.8159,5161.4004,18.31782,2.2040634,0.039978765,-0.7917,0.010410405,0.274035,0.0130992625,-0.24394006,0.04062709,-0.20291,0.05534996,1.05213,0.041919824,0.21922296,0.0579593,0.206272,0.19788896,0.33837298,0.021748828,0.33045098,0.03127913,0.2382806,0.025775949,0.23031497,0.031665623,0.13719314,0.04621485,-0.81043,0.011063038,0.06263244,0.026362173,-0.48132998,0.1604455,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00213442-7208533,NGC0104,0.1315581869852364,0.4958004951477051,1.285991072654724,0.1915312260389328,0.6631479263305664,0.99995,0,5.393427,-72.148163,306.1496982691466,-44.79299822764112,11.938,11.323,11.227,177.72212,-11.500395,0.15466681,0.0309465,4689614837066802944,0.19181742,0.0147545,5.859635,0.0162609,-3.1326666,0.0164747,13.5589,4624.168,8.913436,2.146919,0.030472161,-0.7258,0.008382988,0.286735,0.008654943,0.065068066,0.019155541,0.15994006,0.032713167,0.58619004,0.0218431,0.34508306,0.020228527,0.22328204,0.09784895,0.36497304,0.015730867,0.32278103,0.022402382,0.24770063,0.017432628,0.20399505,0.020276967,0.16810322,0.02530506,-0.73106,0.009354994,0.068612516,0.01700175,-0.07473999,0.06234754,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00213487-7208257,NGC0104,0.1297004577675828,0.7170142531394958,0.6392312049865723,-0.0743974968791008,0.567211925983429,0.99999,0,5.39531,-72.14048,306.15065976620497,-44.80067262452298,11.044,10.451,10.33,239.6297,-8.84583,0.14966883,0.031044396,4689617792004292096,0.23890185,0.0108454,5.246431,0.0118196,-2.9696252,0.0118943,12.7019,4731.3477,9.277474,1.7858431,0.029946946,-0.73529,0.007966694,0.238035,0.008571348,-0.28000993,0.019826116,-0.3393299,0.032463342,1.05085,0.022584487,0.208543,0.022097249,0.30697203,0.10069184,0.29105303,0.015325698,0.35253102,0.02109725,0.21933061,0.016952347,0.15867501,0.019723203,0.1689632,0.025489472,-0.74734,0.008777934,0.07805252,0.016362496,-0.020479977,0.066371106,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00213685-7204435,NGC0104,0.1225970675998755,0.210059642791748,0.3902124762535095,0.7354772090911865,0.738444983959198,1.0,0,5.403544,-72.078773,306.16131801432016,-44.86196716935202,12.113,11.533,11.441,131.03012,-14.929285,0.11004335,0.041600097,4689618891515852160,0.18945344,0.012418,5.0664105,0.0141477,-2.7271888,0.014036,13.7058,4791.1147,12.7655945,2.3400164,0.03598475,-0.70387,0.010088797,0.236205,0.010874718,-0.22583002,0.026937483,-0.30233997,0.043897465,1.07873,0.029434804,0.165021,0.03140323,0.20107198,0.13652849,0.31919298,0.019286416,0.48062098,0.029595202,0.19692057,0.022406952,0.22760499,0.026584305,0.24524313,0.034875583,-0.7143,0.011205136,0.082452476,0.02268709,0.034939945,0.09943898,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
NGC0104,2M00213726-7203389,NGC0104,0.123009312958443,0.5182963013648987,1.0866130590438845,1.2959202527999878,0.6549954414367676,0.99999,0,5.405281,-72.060806,306.16470442329023,-44.87978119627438,11.702,11.025,10.945,194.59227,-11.230445,0.0854175,0.031515397,4689619166393741824,0.19207866,0.0114152,4.7480164,0.0124161,-3.0530179,0.0121794,13.3703,4518.799,7.8707137,2.042311,0.028770775,-0.67778,0.0080196345,0.31436503,0.00791296,0.09094304,0.01665084,0.13611001,0.029526684,0.058750033,0.019301802,0.382903,0.01697383,-0.009288013,0.08447101,0.388883,0.014701893,0.28640097,0.021224545,0.26520061,0.016207151,0.20677501,0.018526217,0.12915319,0.022692762,-0.6748,0.009067478,0.07868248,0.015566511,-0.17442006,0.053336393,70368744177664,47TUC,1,GC_members_VAC-v1_1.fits
