sample_order,cluster_id,hst_n_bins,hst_n_stars_total,hst_radius_min_arcsec,hst_radius_max_arcsec,hst_sigma_median_masyr,hst_sigma_center_masyr,hst_sigma_gradient_loglog,hst_sigma_curvature_abs,hst_outer_inner_sigma_ratio,hst_beta_pm_median,hst_beta_pm_abs_median,gaia_profile_n_bins,gaia_radius_min_arcsec,gaia_radius_max_arcsec,gaia_pm_disp_median_masyr,gaia_pm_disp_center_masyr,gaia_pm_disp_gradient_loglog,gaia_pm_disp_curvature_abs,gaia_outer_inner_disp_ratio,gaia_pm_rot_abs_max_masyr,gaia_rotation_support_proxy,vel_all_n_bins,vel_all_n_stars_total,vel_all_radius_min_arcsec,vel_all_radius_max_arcsec,vel_all_sigma_median_kms,vel_all_sigma_center_kms,vel_all_sigma_gradient_loglog,vel_all_sigma_curvature_abs,vel_all_outer_inner_sigma_ratio,vel_rv_n_bins,vel_rv_sigma_median_kms,vel_rv_sigma_gradient_loglog,vel_vb21_n_bins,vel_vb21_sigma_median_kms,vel_vb21_sigma_gradient_loglog,vel_li22_n_bins,vel_li22_sigma_median_kms,vel_li22_sigma_gradient_loglog,vel_w15_n_bins,vel_w15_sigma_median_kms,vel_w15_sigma_gradient_loglog,vel_p22_n_bins,vel_p22_sigma_median_kms,vel_p22_sigma_gradient_loglog,vel_f13_n_bins,vel_f13_sigma_median_kms,vel_f13_sigma_gradient_loglog,vel_l13_n_bins,vel_l13_sigma_median_kms,vel_l13_sigma_gradient_loglog,vel_k18_n_bins,vel_k18_sigma_median_kms,vel_k18_sigma_gradient_loglog,vel_c21_n_bins,vel_c21_sigma_median_kms,vel_c21_sigma_gradient_loglog,vel_d21_n_bins,vel_d21_sigma_median_kms,vel_d21_sigma_gradient_loglog,vel_g22_n_bins,vel_g22_sigma_median_kms,vel_g22_sigma_gradient_loglog,vel_t22_n_bins,vel_t22_sigma_median_kms,vel_t22_sigma_gradient_loglog
11,NGC5024,17,3772.0,7.5795,100.7875,0.072,0.083,-0.14250353346120223,0.23524650397827077,0.8258064516129032,0.20195555555555533,0.20716832426346388,101,11.999988,1199.9988,0.0247328,0.0702089,-0.5235280880197366,0.674659291368843,0.2588240631933322,0.0166974,0.6751115927028076,28,5075.0,7.58,614.24,5.76,7.28,-0.27000457704964304,0.36074067670066445,0.5334805003679176,5,3.81,-0.34890138089893225,3,3.79,-0.4778961371823461,17,6.31,-0.14165151001390364,0,,,3,5.17,-0.31390807943109883,0,,,0,,,0,,,0,,,0,,,0,,,0,,
12,NGC5053,5,248.0,26.5938,101.4658,0.03,0.037,-0.34193966024971967,0.9740931274061115,0.7837837837837839,0.0,0.05478451424397379,101,9.0,900.0,0.00503626,0.0218657,-0.5810544010889157,0.5859467560330793,0.234499551665419,0.0252181,5.007307009566623,3,103.0,58.77,307.27,1.47,2.19,-0.3242662766158728,,0.5114155251141553,2,1.295,,0,,,0,,,0,,,1,2.19,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
13,NGC5272,17,3448.0,6.8217,89.7092,0.151,0.172,-0.09504106251195336,0.12291290295203543,0.8601823708206687,0.056968157973871336,0.09518143961927439,101,18.0,1800.0,0.0433444,0.174075,-0.7043089192272,0.9581525406805725,0.1745207018716888,0.0450184,1.038620906045533,35,4958.0,6.82,1119.1,6.66,8.3,-0.26282423502726104,0.2839513885485599,0.4697554697554698,11,4.92,-0.3012712914665679,7,4.44,-0.2899470849467828,17,7.28,-0.09507801389307256,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
14,NGC5466,5,398.0,24.8686,99.0486,0.032,0.033,-0.06956411037081366,0.24852129492189118,0.9090909090909091,0.0,0.11753902662993587,101,9.0,900.0,0.00788697,0.0258477,-0.6687624598616784,1.068030565935161,0.17499832607967863,0.0178162,2.258941012835094,6,720.0,53.63,413.26,1.395,1.95,-0.26105289445367474,0.6430006290243476,0.6568364611260055,2,1.24,,2,1.58,,0,,,0,,,2,1.595,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
15,NGC5897,5,294.0,25.2152,79.0089,0.058,0.063,-0.11710824018079664,0.16219002448274897,0.873015873015873,-0.09594726562500022,0.33442330558858524,101,6.000012,600.0012,0.0299371,0.0559087,-0.38340211657911705,0.6350189864922932,0.32137868797445973,0.0095589,0.3192994645439939,12,1004.0,25.22,418.96,3.035,3.75,-0.24491747674065278,0.3913970567244565,0.5950413223140496,4,2.46,-0.45710329822560186,3,2.78,-0.021106367114100376,5,3.45,-0.11813111559199828,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
16,NGC5904,19,4210.0,3.7621,104.368,0.203,0.206,-0.04143357798369851,0.15981029616302986,0.9180722891566265,0.03902060229561499,0.05910076350268656,101,15.000012,1500.0012,0.0900579,0.227152,-0.2942365734454665,0.05594556751266184,0.5030036043251903,0.0915363,1.0164161056387058,44,11455.0,3.76,882.34,6.865,7.3,-0.1475402287787074,0.2865421299553367,0.6950067476383266,20,6.74,-0.17624692341735465,5,5.24,-0.34415962554952645,19,7.2,-0.04164297735841821,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
17,NGC5927,17,3660.0,6.8315,106.5675,0.15,0.163,-0.04801534402042837,0.05200616043406605,0.903225806451613,0.04210049796287885,0.12028537455410215,101,6.000012,600.0012,0.111454,0.167249,-0.1949480157359833,0.2560396497668637,0.5938803870954747,0.0227117,0.20377644588798968,31,4884.0,6.83,589.38,5.61,6.39,-0.13021429502736254,0.296461673771407,0.6747967479674797,9,5.34,-0.23778290108621855,5,4.73,-0.3529482528497808,17,5.88,-0.048041598113910386,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
18,NGC5986,17,3517.0,7.1035,87.9152,0.139,0.158,-0.12269852491193974,0.2878341635425741,0.819078947368421,0.09235756026296571,0.14902950543837523,101,4.799988,479.9988,0.0792338,0.160734,-0.5006794905146693,0.9442069431014404,0.20745172916527907,0.0462909,0.5842317293882158,26,3977.0,7.1,296.04,6.85,7.89,-0.15711108187825765,0.32143172041896795,0.6442634080108621,6,5.105,-0.2260564038964231,3,5.89,-0.29119560449693616,17,6.95,-0.12178422983435391,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19,NGC6093,13,1969.0,7.5567,73.9453,0.204,0.224,-0.23050705453899342,0.5485841644006452,0.6666666666666666,0.06777645659928644,0.13357857679680407,101,4.799988,479.9988,0.0829635,0.207434,-0.37664364658373656,0.3613408964420857,0.3753547455050457,0.0933583,1.1252936532330484,14,2503.0,6.52,245.61,7.98,10.73,-0.273667983040455,0.3470991267740754,0.5211665098777045,11,8.67,-0.2113157775616262,3,6.1,-0.7842423943836183,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
20,NGC6101,8,894.0,14.463,106.348,0.0505,0.051,-0.06321213787010475,0.1261551640286246,0.9150943396226415,0.03702385190459245,0.05949298770706157,101,6.000012,600.0012,0.034807,0.0690683,-0.2999644877613486,0.30285936829586874,0.4420130165168231,0.0163621,0.4700807308874652,11,1007.0,14.46,137.74,3.42,3.49,-0.08966429663186558,0.34933613818785336,0.8309455587392549,2,2.8,,1,2.9,,8,3.455,-0.06189364239426386,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
