cluster_id,cluster_name_raw,bin_id,N_stars,radius_arcsec,pm_sigma_total_masyr,pm_sigma_total_err_masyr,pm_sigma_radial_masyr,pm_sigma_radial_err_masyr,pm_sigma_tangential_masyr,pm_sigma_tangential_err_masyr,anisotropy_proxy_pm
NGC6304,NGC6304,8,117,73.9388,0.159,0.008,0.169,0.013,0.149,0.011,0.2226812786667135
NGC6341,NGC6341,1,54,3.2414,0.193,0.014,0.201,0.02,0.203,0.021,-0.0199995049627483
NGC6341,NGC6341,2,126,7.8069,0.199,0.009,0.184,0.012,0.215,0.014,-0.3653414461247637
NGC6341,NGC6341,3,146,12.0869,0.207,0.009,0.22,0.013,0.193,0.012,0.2303925619834709
NGC6341,NGC6341,4,146,15.5162,0.205,0.009,0.191,0.011,0.22,0.013,-0.3267180175982018
NGC6341,NGC6341,5,146,18.9511,0.211,0.009,0.214,0.013,0.209,0.013,0.046183072757446
NGC6341,NGC6341,6,146,22.3177,0.198,0.008,0.183,0.011,0.21,0.013,-0.3168503090567049
NGC6341,NGC6341,7,146,25.4277,0.191,0.008,0.193,0.012,0.189,0.011,0.0410212354694086
NGC6341,NGC6341,8,146,28.7857,0.196,0.008,0.199,0.012,0.194,0.012,0.0496199590919421
NGC6341,NGC6341,9,146,32.3124,0.187,0.008,0.201,0.012,0.178,0.011,0.2157619860894534
NGC6341,NGC6341,10,146,35.4525,0.199,0.008,0.188,0.011,0.209,0.013,-0.2358816206428247
NGC6341,NGC6341,11,146,39.3745,0.185,0.008,0.191,0.011,0.182,0.011,0.0920205038239082
NGC6341,NGC6341,12,146,42.8266,0.193,0.008,0.198,0.012,0.187,0.011,0.1080246913580247
NGC6341,NGC6341,13,146,46.9086,0.185,0.008,0.175,0.011,0.194,0.011,-0.2289306122448982
NGC6341,NGC6341,14,146,50.5722,0.176,0.007,0.197,0.012,0.154,0.01,0.388904635522688
NGC6341,NGC6341,15,146,55.0659,0.169,0.007,0.166,0.01,0.173,0.01,-0.0861155465234428
NGC6341,NGC6341,16,146,59.5574,0.18,0.008,0.179,0.011,0.184,0.011,-0.056646172092007
NGC6341,NGC6341,17,145,63.6719,0.172,0.007,0.176,0.011,0.169,0.01,0.0779635847107436
NGC6341,NGC6341,18,145,68.704,0.16,0.007,0.15,0.009,0.168,0.01,-0.2544000000000002
NGC6341,NGC6341,19,145,74.5646,0.173,0.007,0.179,0.011,0.168,0.01,0.1191286164601603
NGC6341,NGC6341,20,145,80.2031,0.154,0.007,0.147,0.009,0.161,0.01,-0.1995464852607713
NGC6341,NGC6341,21,145,88.9831,0.149,0.006,0.143,0.009,0.155,0.01,-0.1748740769719794
NGC6341,NGC6341,22,145,100.7625,0.158,0.007,0.169,0.011,0.146,0.009,0.2536675886698646
NGC6352,NGC6352,1,57,11.6906,0.12,0.009,0.115,0.011,0.128,0.013,-0.2388657844990547
NGC6352,NGC6352,2,148,23.134,0.132,0.006,0.126,0.008,0.139,0.009,-0.2169942050894433
NGC6352,NGC6352,3,148,36.7093,0.127,0.006,0.127,0.008,0.128,0.008,-0.0158100316200631
NGC6352,NGC6352,4,147,51.0471,0.116,0.005,0.121,0.008,0.111,0.007,0.1584591216446963
NGC6352,NGC6352,5,147,63.721,0.12,0.005,0.122,0.007,0.119,0.007,0.0485756517065305
NGC6352,NGC6352,6,147,76.8893,0.128,0.006,0.127,0.008,0.127,0.008,0.0
NGC6362,NGC6362,1,110,16.6287,0.099,0.005,0.1,0.007,0.101,0.007,-0.0201
NGC6362,NGC6362,2,110,31.3639,0.093,0.005,0.095,0.007,0.092,0.007,0.0621606648199446
NGC6362,NGC6362,3,110,41.0135,0.099,0.005,0.096,0.007,0.102,0.007,-0.1289062499999997
NGC6362,NGC6362,4,110,49.849,0.094,0.005,0.095,0.007,0.091,0.007,0.0824376731301939
NGC6362,NGC6362,5,109,56.8535,0.097,0.005,0.102,0.008,0.092,0.007,0.1864667435601691
NGC6362,NGC6362,6,109,63.9951,0.093,0.005,0.093,0.007,0.094,0.007,-0.0216209966470111
NGC6362,NGC6362,7,109,72.2938,0.088,0.005,0.087,0.006,0.09,0.007,-0.070154577883472
NGC6362,NGC6362,8,109,78.9673,0.095,0.005,0.094,0.007,0.094,0.007,0.0
NGC6362,NGC6362,9,109,87.6694,0.092,0.005,0.098,0.007,0.088,0.007,0.1936693044564766
NGC6362,NGC6362,10,109,97.4544,0.098,0.005,0.097,0.007,0.1,0.008,-0.0628122010840686
NGC6366,NGC6366,1,95,35.8006,0.141,0.008,0.147,0.012,0.136,0.012,0.1440603452265257
NGC6366,NGC6366,2,95,61.1099,0.147,0.009,0.154,0.013,0.143,0.012,0.1377551020408165
NGC6366,NGC6366,3,95,83.4589,0.155,0.009,0.148,0.013,0.156,0.013,-0.1110299488677868
NGC6397,NGC6397,1,42,6.2001,0.458,0.036,0.464,0.053,0.465,0.054,-0.0043149895957195
NGC6397,NGC6397,2,96,20.3448,0.437,0.023,0.42,0.031,0.458,0.034,-0.189138321995465
NGC6397,NGC6397,3,96,37.0409,0.445,0.024,0.438,0.032,0.451,0.034,-0.0602416546777591
NGC6397,NGC6397,4,96,50.6277,0.446,0.024,0.443,0.033,0.455,0.035,-0.0549098339354596
NGC6397,NGC6397,5,96,63.6012,0.382,0.02,0.371,0.028,0.398,0.03,-0.1508489476246179
NGC6397,NGC6397,6,96,80.9735,0.461,0.024,0.458,0.035,0.459,0.034,-0.0043715794893308
NGC6397,NGC6397,7,95,98.8607,0.354,0.02,0.353,0.028,0.358,0.028,-0.0285292394610343
