cluster_id,p_physical_proxy,q_physical_proxy,p_rotation_free,q_rotation_free,p_profile_shuffle,q_profile_shuffle,p_combined_conservative,q_combined_conservative,rotation_free_DSI_drop
NGC0104,3.3332222259258e-05,9.69664647542052e-05,0.0429319022699243,0.196260124662511,0.0003332222592469,0.0003949300850333,0.183536329273415,0.839023219535609,0.784143144651794
NGC0288,0.0036998766707776,0.0084568609617774,0.459051364954501,0.945435152161595,0.0033322225924691,0.0036769352744487,0.671646567068659,0.998000066664445,0.0457160674106573
NGC0362,0.608979700676644,0.695976800773307,0.8867704409853,0.992600246658445,0.0003332222592469,0.0003949300850333,0.949341013179736,0.998000066664445,-0.47349696721352
NGC1261,3.3332222259258e-05,9.69664647542052e-05,0.0195660144661845,0.104352077152984,0.0003332222592469,0.0003949300850333,0.124997500049999,0.666653333599995,0.930353261760732
NGC1851,3.3332222259258e-05,9.69664647542052e-05,0.0967301089963668,0.343929276431526,0.0003332222592469,0.0003949300850333,0.276614467710646,0.98351810741563,0.598467998151281
NGC2298,3.3332222259258e-05,9.69664647542052e-05,0.0054998166727775,0.0351988267057765,0.0003332222592469,0.0003949300850333,0.0641987160256795,0.410871782564349,1.12075111119701
NGC2808,0.000133328889037,0.0003555437040987,0.324389187027099,0.865037832072264,0.0003332222592469,0.0003949300850333,0.552608947821044,0.998000066664445,0.209770496172655
NGC3201,0.539382020599313,0.66385479458377,0.868304389853672,0.992600246658445,0.0003332222592469,0.0003949300850333,0.941421171576568,0.998000066664445,-0.446314654815158
NGC4590,0.0715309489683677,0.114449518349388,0.657611412952902,0.992600246658445,0.0003332222592469,0.0003949300850333,0.820403591928161,0.998000066664445,-0.174012798384447
NGC4833,0.0836638778707376,0.127487813898267,0.672210926302457,0.992600246658445,0.0003332222592469,0.0003949300850333,0.830603387932241,0.998000066664445,-0.194584496247531
NGC5024,3.3332222259258e-05,9.69664647542052e-05,0.0596980100663311,0.238792040265324,0.0003332222592469,0.0003949300850333,0.217115657686846,0.868462630747385,0.712108511725527
NGC5053,3.3332222259258e-05,9.69664647542052e-05,3.3332222259258e-05,0.0005333155561481,0.0003332222592469,0.0003949300850333,0.0003332222592469,0.0106631122959014,2.29552200744213
NGC5272,3.3332222259258e-05,9.69664647542052e-05,0.0015666144461851,0.012532915569481,0.0003332222592469,0.0003949300850333,0.0344193116137677,0.275354492910142,1.28960782176524
NGC5466,3.3332222259258e-05,9.69664647542052e-05,3.3332222259258e-05,0.0005333155561481,0.0003332222592469,0.0003949300850333,0.0051798964020719,0.0828783424331513,1.71211653804841
NGC5897,0.0235658811372954,0.0418948997996363,0.574080863971201,0.992600246658445,0.0436521159613462,0.0450602487342929,0.76332473350533,0.998000066664445,-0.0816981452137365
NGC5904,0.0049665011166294,0.0099330022332588,0.472717576080797,0.945435152161595,0.0003332222592469,0.0003949300850333,0.688786224275515,0.998000066664445,0.0301178773321721
NGC5927,0.584380520649312,0.692599135584369,0.882203926535782,0.992600246658445,0.0003332222592469,0.0003949300850333,0.946121077578448,0.998000066664445,-0.462465764778155
NGC5986,3.3332222259258e-05,9.69664647542052e-05,0.124395853471551,0.398066731108963,0.0003332222592469,0.0003949300850333,0.319533609327813,0.998000066664445,0.535622595781598
NGC6093,3.3332222259258e-05,9.69664647542052e-05,0.0010666311122962,0.0113773985311601,0.0003332222592469,0.0003949300850333,0.0283194336113278,0.275354492910142,1.34429766832089
NGC6101,0.407819739342022,0.543759652456029,0.827705743141895,0.992600246658445,0.0003332222592469,0.0003949300850333,0.922881542369153,0.998000066664445,-0.388478503511787
NGC6121,0.0645645145161828,0.108740234974624,0.65231158961368,0.992600246658445,0.0003332222592469,0.0003949300850333,0.812523749525009,0.998000066664445,-0.173557570328163
NGC6144,0.0045998466717776,0.0098130062331255,0.466784440518649,0.945435152161595,0.0003332222592469,0.0003949300850333,0.677566448671027,0.998000066664445,0.0390122765618761
NGC6171,0.930702309923003,0.962823819851166,0.96496783440552,0.992600246658445,0.0009996667777407,0.001142476317418,0.985580288394232,0.998000066664445,-0.68571833158051
NGC6205,0.0182327255758141,0.0343204246132972,0.557681410619646,0.992600246658445,0.0003332222592469,0.0003949300850333,0.744785104297914,0.998000066664445,-0.0606085655728254
NGC6218,0.0004666511116296,0.0011486796593959,0.362754574847505,0.892934338086166,0.0003332222592469,0.0003949300850333,0.585768284634307,0.998000066664445,0.162821509401058
NGC6254,0.127195760141329,0.185012014751023,0.709943001899937,0.992600246658445,0.0003332222592469,0.0003949300850333,0.847303053938921,0.998000066664445,-0.235787536063712
NGC6304,0.813806206459785,0.8979930554039,0.936135462151262,0.992600246658445,0.0003332222592469,0.0003949300850333,0.971440571188576,0.998000066664445,-0.579686518552882
NGC6341,3.3332222259258e-05,9.69664647542052e-05,0.247725075830806,0.720654766053253,0.0003332222592469,0.0003949300850333,0.4747505049899,0.998000066664445,0.317960730006961
NGC6352,0.437718742708576,0.560279990666978,0.842738575380821,0.992600246658445,0.0046651116294568,0.0049761190714206,0.925561488770225,0.998000066664445,-0.408052729227527
NGC6362,0.154761507949735,0.215320358886588,0.727509083030566,0.992600246658445,0.0003332222592469,0.0003949300850333,0.863702725945481,0.998000066664445,-0.256426412688598
NGC6366,0.998000066664445,0.998000066664445,0.992600246658445,0.992600246658445,0.186604465178274,0.186604465178274,0.998000066664445,0.998000066664445,-0.912729096388628
NGC6397,0.932735575480817,0.962823819851166,0.964701176627446,0.992600246658445,0.0003332222592469,0.0003949300850333,0.985820283594328,0.998000066664445,-0.690477932935995
