cluster_id,p_null_DSI,q_null_DSI,p_null_theta,q_null_theta,p_null_theta_bayes,q_null_theta_bayes,p_null_consensus,q_null_consensus,p_null_physical_proxy,q_null_physical_proxy,p_null_rotation_free,q_null_rotation_free,p_null_profile_shuffle,q_null_profile_shuffle,p_null_combined_conservative,q_null_combined_conservative,empirical_null_significance
NGC0104,0.183536329273415,0.839023219535609,0.134257314853703,0.549509009819804,0.261854762904742,0.837935241295174,0.0669386612267755,0.278234435311294,3.3332222259258e-05,9.69664647542052e-05,0.0429319022699243,0.196260124662511,0.0003332222592469,0.0003949300850333,0.183536329273415,0.839023219535609,not_significant
NGC0288,0.671646567068659,0.996980060398792,0.704105917881642,1.0,0.851262974740505,1.0,0.387192256154877,0.826010146463737,0.0036998766707776,0.0084568609617774,0.459051364954501,0.945435152161595,0.0033322225924691,0.0036769352744487,0.671646567068659,0.998000066664445,not_significant
NGC0362,0.949341013179736,0.996980060398792,0.981840363192736,1.0,0.846423071538569,1.0,0.875822483550329,0.996080078398432,0.608979700676644,0.695976800773307,0.8867704409853,0.992600246658445,0.0003332222592469,0.0003949300850333,0.949341013179736,0.998000066664445,not_significant
NGC1261,0.124997500049999,0.666653333599995,0.137377252454951,0.549509009819804,0.0207795844083118,0.221648900355326,0.0695586088278234,0.278234435311294,3.3332222259258e-05,9.69664647542052e-05,0.0195660144661845,0.104352077152984,0.0003332222592469,0.0003949300850333,0.124997500049999,0.666653333599995,not_significant
NGC1851,0.276614467710646,0.98351810741563,0.396132077358453,1.0,0.0080798384032319,0.129277414451711,0.22527549449011,0.600734651973627,3.3332222259258e-05,9.69664647542052e-05,0.0967301089963668,0.343929276431526,0.0003332222592469,0.0003949300850333,0.276614467710646,0.98351810741563,not_significant
NGC2298,0.0641987160256795,0.410871782564349,0.0284594308113838,0.22767544649107,0.0497990040199196,0.231858219978458,0.0028799424011519,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,0.0054998166727775,0.0351988267057765,0.0003332222592469,0.0003949300850333,0.0641987160256795,0.410871782564349,marginal
NGC2808,0.552608947821044,0.996980060398792,0.632687346253075,1.0,0.237915241695166,0.837935241295174,0.355292894142117,0.812098043753411,0.000133328889037,0.0003555437040987,0.324389187027099,0.865037832072264,0.0003332222592469,0.0003949300850333,0.552608947821044,0.998000066664445,not_significant
NGC3201,0.941421171576568,0.996980060398792,0.982980340393192,1.0,0.999560008799824,1.0,0.862562748745025,0.996080078398432,0.539382020599313,0.66385479458377,0.868304389853672,0.992600246658445,0.0003332222592469,0.0003949300850333,0.941421171576568,0.998000066664445,not_significant
NGC4590,0.820403591928161,0.996980060398792,0.909681806363873,1.0,0.448671026579468,1.0,0.815043699126017,0.996080078398432,0.0715309489683677,0.114449518349388,0.657611412952902,0.992600246658445,0.0003332222592469,0.0003949300850333,0.820403591928161,0.998000066664445,not_significant
NGC4833,0.830603387932241,0.996980060398792,0.921141577168457,1.0,0.953380932381352,1.0,0.658886822263555,0.996080078398432,0.0836638778707376,0.127487813898267,0.672210926302457,0.992600246658445,0.0003332222592469,0.0003949300850333,0.830603387932241,0.998000066664445,not_significant
NGC5024,0.217115657686846,0.868462630747385,0.106617867642647,0.549509009819804,0.149477010459791,0.597908041839163,0.0161396772064559,0.0889582208355833,3.3332222259258e-05,9.69664647542052e-05,0.0596980100663311,0.238792040265324,0.0003332222592469,0.0003949300850333,0.217115657686846,0.868462630747385,not_significant
NGC5053,3.99992000159997e-05,0.0012799744005119,0.0010399792004159,0.0332793344133117,0.0012599748005039,0.0403191936161277,0.0014599708005839,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,3.3332222259258e-05,0.0005333155561481,0.0003332222592469,0.0003949300850333,0.0003332222592469,0.0106631122959014,FDR_significant
NGC5272,0.0344193116137677,0.275354492910142,0.0383192336153277,0.245243095138097,0.0322193556128877,0.231858219978458,0.0166796664066719,0.0889582208355833,3.3332222259258e-05,9.69664647542052e-05,0.0015666144461851,0.012532915569481,0.0003332222592469,0.0003949300850333,0.0344193116137677,0.275354492910142,nominal_significant
NGC5466,0.0051798964020719,0.0828783424331513,0.0087398252034959,0.135037299254015,0.0507189856202876,0.231858219978458,0.0022999540009199,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,3.3332222259258e-05,0.0005333155561481,0.0003332222592469,0.0003949300850333,0.0051798964020719,0.0828783424331513,nominal_significant
NGC5897,0.76332473350533,0.996980060398792,0.695586088278234,1.0,0.419451610967781,1.0,0.260134797304054,0.64033180874844,0.0235658811372954,0.0418948997996363,0.574080863971201,0.992600246658445,0.0436521159613462,0.0450602487342929,0.76332473350533,0.998000066664445,not_significant
