component,loading_classical,loading_bayes,loading_bayes_err,alpha_bayes,sigma_int_bayes,pca_loading_PC1,pca_explained_PC1_percent
GradientStrength,0.205691584555227,0.892938545493767,0.0965223921979488,0.0621075755116955,0.176696054192598,0.478279759260996,46.9526963027699
Anisotropy,0.0782789013374847,0.259005818740412,0.382703947627492,0.565906937314673,1.1854735373892,0.182016265603979,46.9526963027699
RotationSupport,0.257960093929502,0.942540228861052,0.223936022201831,0.700530498260915,1.00645946407352,0.599815942350427,46.9526963027699
ProfileCurvature,0.151330100957791,0.424347038450712,0.178093435817742,-0.0567419770934964,0.725566554932756,0.351876934642415,46.9526963027699
CentralEnhancement,0.149436794483247,0.617146079978049,0.134064690191403,0.0242266103479129,0.3225439774114,0.347474566082659,46.9526963027699
OuterDisturbance,-0.157302524736749,-0.855352254131819,0.0830283190136631,-0.142528884365318,0.214628737685427,-0.365764179535693,46.9526963027699
