component,w_fixed,w_PCA,w_entropy,w_stability,w_bayesian_loading,latent_loading_classical,latent_loading_bayes,latent_loading_bayes_err
GradientStrength,0.22,0.205691584555227,0.124631974811331,0.326468840739579,0.223719550419843,0.205691584555227,0.892938545493767,0.0965223921979488
Anisotropy,0.16,0.0782789013374847,0.232759027745886,0.0156329963169683,0.064892108888285,0.0782789013374847,0.259005818740412,0.382703947627492
RotationSupport,0.14,0.257960093929502,0.219859190637801,0.205689719145921,0.236146907665196,0.257960093929502,0.942540228861052,0.223936022201831
ProfileCurvature,0.16,0.151330100957791,0.151322197831259,0.144124363256657,0.106317203063162,0.151330100957791,0.424347038450712,0.178093435817742
CentralEnhancement,0.16,0.149436794483247,0.156334168321896,0.225602197247944,0.154621663778341,0.149436794483247,0.617146079978049,0.134064690191403
OuterDisturbance,0.16,0.157302524736749,0.115093440651827,0.0824818832929304,0.214302566185173,-0.157302524736749,-0.855352254131819,0.0830283190136631
