cluster_id,DSI_fixed_BC,DSI_pca_BC,DSI_entropy_BC,DSI_stability_BC,DSI_stability_QA,DSI_stability_err,DSI_stability_bias,theta_latent_BC,theta_latent_QA,theta_bayes_BC,theta_bayes_QA,theta_bayes_err,DSI_bayesLoad_BC,DSI_bayesLoad_err,DSI_consensus_BC,DSI_consensus_QA,theta_latent_err,p_null_DSI,q_null_DSI,p_null_theta,q_null_theta,p_null_theta_bayes,q_null_theta_bayes,p_null_consensus,q_null_consensus,p_null_physical_proxy,q_null_physical_proxy,p_null_rotation_free,q_null_rotation_free,p_null_profile_shuffle,q_null_profile_shuffle,p_null_combined_conservative,q_null_combined_conservative,null_significance,mixture_class,mix_prob_relaxed,mix_prob_intermediate,mix_prob_disturbed,mix_entropy,rank_primary,rank_MC_sigma,loo_max_abs_delta,data_quality_score,publication_readiness,publication_readiness_class,interpretation_flag,hst_n_bins,gaia_n_bins,vel_n_bins,hst_fit_flag,gaia_fit_flag,vel_fit_flag,n_problematic_profile_fits,lambda_R_gaia,rotation_support_robust,chemistry_available,dominant_component
NGC4833,-0.282425549821589,-0.295995718910085,-0.311547538007535,-0.261029312258608,-0.261029312258608,0.215689110378801,0.0699994977878333,-0.378481569454225,-0.378481569454225,-0.487331494263138,-0.487331494263138,0.240743544587664,-0.223781529097652,0.178606763998856,-0.184895856159594,-0.184895856159594,0.241066076988273,0.830603387932241,0.996980060398792,0.921141577168457,1,0.953380932381352,1,0.658886822263555,0.996080078398432,0.0836638778707376,0.127487813898267,0.672210926302457,0.992600246658445,0.0003332222592469,0.0003949300850333,0.830603387932241,0.998000066664445,not_significant,GMM_intermediate,0.112443017712988,0.88755698173014,5.56871407762439e-10,0.351592780576627,21,3.95027301985398,0.174333572354242,1.0,74.6042214562921,B_usable_with_caution,robust,12,100,22,valid_fit,valid_fit,valid_fit,0,0.075760912707283,0.238174034496944,0,ProfileCurvature
NGC6254,-0.358390135888275,-0.340209433360614,-0.484692810992221,-0.302373768951278,-0.302373768951278,0.16395579029554,0.0766085247740995,-0.382424891521099,-0.382424891521099,-0.343702864036236,-0.343702864036236,0.246332123154703,-0.303173618790131,0.147207851660894,-0.241672302921404,-0.241672302921404,0.23831467884892,0.847303053938921,0.996980060398792,0.922641547169057,1,0.903061938761225,1,0.696046079078418,0.996080078398432,0.127195760141329,0.185012014751023,0.709943001899937,0.992600246658445,0.0003332222592469,0.0003949300850333,0.847303053938921,0.998000066664445,not_significant,GMM_intermediate,0.282769860001931,0.717230135129754,4.86831535903409e-09,0.595550450335524,22,3.25250088276675,0.088925758725728,1.0,77.2460980886594,B_usable_with_caution,robust,16,100,36,valid_fit,valid_fit,valid_fit,0,0.0623131084437289,0.160858739065649,1,RotationSupport
NGC6362,-0.891962432540523,-0.536187259629743,-1.1925772574855,-0.324536292030197,-0.324536292030197,0.246424628339334,0.100788854362745,-0.635697114412999,-0.635697114412999,-0.565412109286836,-0.565412109286836,0.283824552921057,-0.466101453582819,0.200641891414804,-0.675113915824947,-0.675113915824947,0.326667462630654,0.863702725945481,0.996980060398792,0.983920321593568,1,0.971360572788544,1,0.905701885962281,0.996080078398432,0.154761507949735,0.215320358886588,0.727509083030566,0.992600246658445,0.0003332222592469,0.0003949300850333,0.863702725945481,0.998000066664445,not_significant,GMM_relaxed,0.999999999999988,3.9540922987995e-15,7.098812707894951e-15,3.74284149725801e-13,23,4.47550477472628,0.146200700422063,1.0,72.9879097195254,B_usable_with_caution,caution_rank_instability,10,100,27,boundary_or_extreme_fit,valid_fit,valid_fit,1,0.213423895440831,0.24953925073838,0,GradientStrength
NGC6101,-1.09305351894516,-0.568247317299035,-1.45000875328966,-0.458076383270686,-0.453121147627471,0.268829860187819,0.151354590989911,-0.831448290934912,-0.822454109271771,-0.925151074842321,-0.915143264466495,0.302331323714559,-0.457977762360224,0.245105273867841,-0.920895503862892,-0.910933728073805,0.355664923282677,0.922881542369153,0.996980060398792,0.9970000599988,1,0.998080038399232,1,0.962440751184976,0.996080078398432,0.407819739342022,0.543759652456029,0.827705743141895,0.992600246658445,0.0003332222592469,0.0003949300850333,0.922881542369153,0.998000066664445,not_significant,GMM_relaxed,0.999999999999999,1.1894454238011099e-27,1.63619891002776e-18,8.36130703669173e-16,24,4.7289752591233,0.242651586789764,0.978482042633557,69.5312877880497,B_usable_with_caution,caution_rank_instability,8,100,11,valid_fit,valid_fit,valid_fit,0,0.18595518874809,0.449687221504763,0,GradientStrength
NGC6352,-0.528857454316062,-0.420236233519959,-0.685716421252015,-0.471446123399921,-0.449874271914428,0.341525561696665,0.128337011264092,-0.613533308062006,-0.585460006053561,-0.916099499974223,-0.874181746537496,0.317498313358442,-0.41734138601478,0.254950664147394,-0.530730016023927,-0.506445525142984,0.400481604817048,0.925561488770225,0.996980060398792,0.981920361592768,1,0.998560028799424,1,0.851162976740465,0.996080078398432,0.437718742708576,0.560279990666978,0.842738575380821,0.992600246658445,0.0046651116294568,0.0049761190714206,0.925561488770225,0.998000066664445,not_significant,GMM_intermediate,0.243456288096989,0.756543711899331,3.67973928680098e-12,0.555031280820162,25,5.51581392005206,0.30787696251164,0.910580143418936,65.421048067431,B_usable_with_caution,caution_rank_instability,6,100,11,valid_fit,insufficient_or_failed,insufficient_or_failed,2,0.130948275964367,0.177527880871005,0,CentralEnhancement
NGC3201,-0.559651464236568,-0.436119264323663,-0.599436963786114,-0.514955141096266,-0.496766220003764,0.135503322625328,0.0386552144677489,-0.627210977741756,-0.605057026703983,-1.01902083127382,-0.983027619414247,0.216214149947923,-0.36570950148306,0.151088903649044,-0.556056194375495,-0.536415527771096,0.205521591607054,0.941421171576568,0.996980060398792,0.982980340393192,1,0.999560008799824,1,0.862562748745025,0.996080078398432,0.539382020599313,0.66385479458377,0.868304389853672,0.992600246658445,0.0003332222592469,0.0003949300850333,0.941421171576568,0.998000066664445,not_significant,GMM_intermediate,0.0936095618338315,0.906390438162077,4.09146774441937e-12,0.310810429044391,26,2.36426973805419,0.273419462476208,0.9306048591021,75.8721855855595,B_usable_with_caution,robust,6,100,38,insufficient_or_failed,valid_fit,valid_fit,1,0.181677833733296,0.249148877299482,1,GradientStrength
NGC5927,-0.376583692456452,-0.425957481348458,-0.373346952213745,-0.534293697235888,-0.534293697235888,0.159188527216999,0.0562876442486474,-0.665104770896277,-0.665104770896277,-0.962712250567967,-0.962712250567967,0.228921308576548,-0.337775333991895,0.144603737057595,-0.462561329652335,-0.462561329652335,0.209779988384301,0.946121077578448,0.996980060398792,0.98680026399472,1,0.99910001799964,1,0.818183636327273,0.996080078398432,0.584380520649312,0.692599135584369,0.882203926535782,0.992600246658445,0.0003332222592469,0.0003949300850333,0.946121077578448,0.998000066664445,not_significant,GMM_intermediate,0.1538987980014,0.846101201997247,1.3529532847746599e-12,0.429412756348212,27,2.82213607935729,0.197894527291304,1.0,77.0448784848465,B_usable_with_caution,robust,17,100,31,valid_fit,valid_fit,valid_fit,0,0.114368712904558,0.194040999365154,0,GradientStrength
NGC0362,-0.684732153247487,-0.681031635979265,-0.87022523499003,-0.545198049854806,-0.545198049854806,0.146510666547549,0.1115592111654,-0.629770234293678,-0.629770234293678,-0.236269847938674,-0.236269847938674,0.224034358590387,-0.606563409025883,0.143950357521223,-0.599186450723627,-0.599186450723627,0.202469731501808,0.949341013179736,0.996980060398792,0.981840363192736,1,0.846423071538569,1,0.875822483550329,0.996080078398432,0.608979700676644,0.695976800773307,0.8867704409853,0.992600246658445,0.0003332222592469,0.0003949300850333,0.949341013179736,0.998000066664445,not_significant,GMM_intermediate,0.114134383690849,0.885865616292179,1.6971745779131897e-11,0.355072904942606,28,2.82520034535576,0.212046321924811,1.0,75.9044748705027,B_usable_with_caution,robust,19,100,40,valid_fit,valid_fit,valid_fit,0,0.0672760492140089,0.126728994186595,1,CentralEnhancement
NGC6304,-0.392142907634837,-0.345182076856614,-0.393035923211548,-0.652773359375024,-0.652773359375024,0.180594933033098,0.0528951092121355,-0.75273131201765,-0.75273131201765,-1.4020987064476,-1.4020987064476,0.253629614901034,-0.286611582958923,0.170002228385916,-0.56516096255715,-0.56516096255715,0.257147679538371,0.971440571188576,0.996980060398792,0.993640127197456,1,1.0,1,0.863822723545529,0.996080078398432,0.813806206459785,0.8979930554039,0.936135462151262,0.992600246658445,0.0003332222592469,0.0003949300850333,0.971440571188576,0.998000066664445,not_significant,GMM_intermediate,0.0668581826454691,0.933141817354043,4.882016344585339e-13,0.24543515398132,29,2.6781720783281,0.33975565247614,1.0,75.6292244692512,B_usable_with_caution,robust,8,100,14,insufficient_or_failed,valid_fit,valid_fit,1,0.181623117778899,0.25561117283103,1,GradientStrength
NGC6171,-0.772830849711673,-0.706116968316485,-0.931055546124773,-0.755944583466771,-0.729243585104641,0.255003403820879,0.166496359287488,-0.837140340536229,-0.807571396792996,-0.842372167498621,-0.812618428459266,0.317245705032023,-0.650751293105171,0.21535332567347,-0.83357153290226,-0.804128644334067,0.34546294232783,0.985580288394232,0.996980060398792,0.997500049999,1,0.997040059198816,1,0.943841123177536,0.996080078398432,0.930702309923003,0.962823819851166,0.96496783440552,0.992600246658445,0.0009996667777407,0.001142476317418,0.985580288394232,0.998000066664445,not_significant,GMM_intermediate,0.0555349714098184,0.944465028589942,2.40052763891868e-13,0.21450083186908,30,4.31386982819126,0.156187387968903,0.9306048591021,69.2630547586665,B_usable_with_caution,caution_rank_instability,6,100,17,valid_fit,valid_fit,valid_fit,0,0.101872067301173,0.151056376458387,1,CentralEnhancement
