K,logLik,nParams,AIC,BIC
2,-36.2865014623463,11,94.5730029246926,110.69609785549
3,-26.9919216019947,17,87.9838432039894,112.901353551585
4,-24.6668018580395,23,95.333603716079,129.045529480473
