cluster_id,GradientStrength,Anisotropy,RotationSupport,ProfileCurvature,CentralEnhancement,OuterDisturbance
NGC0104,0.508124227478743,-0.714316966934048,3.36474848753189,-0.739992160716102,0.173769671554374,-0.691494201486048
NGC0288,-0.370897694532832,1.03598615454316,0.538626388522438,0.0972308331000319,0.121012648134909,0.2824383598426
NGC0362,0.0038295723827924,-0.430004927533858,-0.710908550073207,-0.828439103938242,-0.66696914682015,-0.146362636753054
NGC1261,1.7211627467186,-0.569507782617836,1.9314626207304,0.664105368378277,0.898922745849708,-1.47088038493584
NGC1851,1.72843728598678,-0.517609692086452,0.163594094849723,-0.843989229615366,2.07867470031754,-1.67589546090077
NGC2298,1.45898191132889,9.86888060143242,1.33279239304142,2.24757195020697,0.94739209990274,-1.06215276236838
NGC2808,0.637678681518614,0.0465751939276052,-0.717119396663519,-0.0051200858051806,1.08819339125333,-0.84907274434484
NGC3201,-1.04038600329291,-0.0237799375357162,-0.202503757074136,-0.669140623510311,-0.217975406533488,0.618239706701925
NGC4590,0.404068564607036,-0.263996050482693,-0.578067771946345,0.67984089544288,-0.0351111213294941,-0.83639724675897
NGC4833,-0.396867100564825,0.476290936900071,-0.248081832639497,-0.917654350767208,0.407384283547377,0.272381211501069
NGC5024,1.12795296902025,3.23671355914669,1.44651621900256,0.600613620655947,0.682012372133041,-0.900367367363809
NGC5053,2.37210325099082,-2.22577559928283,18.2218025528514,2.82426400174383,2.22943063074551,-1.16853947466186
NGC5272,1.75600569895525,-0.777670535705257,2.63543217318809,1.04763819629882,0.561163776060453,-1.24509851032514
NGC5466,1.47638231444714,0.0237799375357162,7.12334405565872,2.0453469298096,1.59961567916875,-0.527845376595335
NGC5897,0.442574093829901,7.79841178519654,0.0686166338364542,0.590132423172416,0.488135285882339,-0.380704079874656
NGC5904,-0.653618566020668,-2.0710513882411,2.67444403207087,-1.3837438796018,-0.691537141093702,0.610082195735853
NGC5927,-0.886278187246228,0.122228032245482,-0.431364531659133,-0.881601396581885,-0.173195288570872,0.7793965581409
NGC5986,0.717323212105879,1.15261638717465,0.964797703406058,1.36739767668129,-0.085604246852763,-0.740568866872709
NGC6093,1.02110512204871,0.598748294616417,3.06811196654655,0.609892527933019,1.23494641408985,-1.06696031702584
NGC6101,-0.695362952932522,-2.05699136136686,0.630323826007667,-0.161151073613533,-0.985373464608663,0.828382723096813
NGC6121,-0.40996115067318,-0.052781821415055,-0.859867883996978,-0.452280519150853,0.71010467816269,0.438405278372187
NGC6144,-0.391696135738693,5.90277844377119,1.31059380659225,0.984614263408215,-0.743969547636047,0.315076232348468
NGC6171,-0.752568285018533,-0.168351911367787,-0.609877921439991,0.0051200858051806,-1.12557407550586,0.45480763275586
NGC6205,0.176636965110481,-0.483943706813948,-0.310592663705581,-0.555643646542688,0.0351111213294941,-0.0338473840580441
NGC6218,-0.0038295723827924,0.0577853117096054,-0.0686166338364545,0.388585752914987,0.440094787411442,0.0338473840580431
NGC6254,-0.159255119250744,0.634664552019142,-0.569169108414483,-0.144872653211176,-0.264866061860225,0.169869543572603
NGC6304,-1.30082115778964,0.986877789836357,-0.175666106698452,-0.0238011294951439,-1.14598063342621,1.30295584647129
NGC6341,0.427612461904415,2.5212793256773,1.67951081641983,-0.839997912226136,-0.329542650403539,-0.667775949022692
NGC6352,-0.749974150677687,-0.478852568004682,-0.499942840805575,1.48520350187383,-1.12557407550586,0.6296056282779
NGC6362,-0.525371099566956,-1.80640703804896,-0.200882552067654,0.244454709632759,-0.209612277069504,0.356272143506666
NGC6366,-2.0078621000195,0.748463831079295,-0.638072968879984,-0.581998155229798,-0.81421947208481,1.99225139119092
NGC6397,-0.622097207114979,-2.22128327522299,-1.07080444155836,-0.95323415626778,-0.620708244460568,0.681205569930499
