cluster_id,hst_n_bins,gaia_n_bins,vel_n_bins,gradient_strength,anisotropy_abs,rotation_support_robust,profile_curvature,central_enhance,outer_disturbance,lambda_R_gaia,hst_eta,hst_sigma0,hst_rc,gaia_eta,gaia_sigma0,gaia_rc,vel_eta,vel_sigma0,vel_rc,chemical_complexity,data_quality_score
NGC0104,28,100,86,0.260168335486306,0.0969487764336259,1.10811521442379,0.230372242015853,1.18969072164948,0.562324411706083,0.444821494263732,0.403370026497673,0.581900383687885,105.332128170783,0.508169438738476,0.547424976241799,203.632250149938,0.387849909768769,12.0663919192752,116.622008965748,0.436883536324102,1.0
NGC0288,5,100,18,0.186427395868242,0.145775941230487,0.427607198394687,0.351503717819368,1.18198874296435,0.669354528870075,0.263713188055337,0.0574715706976571,0.171016673032667,4.33262644149315e-06,0.696033834009169,0.0661378521202839,227.463171436579,0.640141170838837,2.98384428211441,222.85839909076,0.363888855425306,0.889139705019461
NGC0362,19,100,40,0.217863177014213,0.104880060238804,0.126728994186595,0.21757552137877,1.06695156695157,0.622231532137058,0.0672760492140089,0.343128694971327,0.193986398431907,47.7596176938478,0.41340609615771,0.220179232240679,39.1540120155114,0.455223216359188,7.86188985029516,69.7758500760298,0.482361797855433,1.0
NGC1261,20,100,29,0.361929847869241,0.10098843209095,0.762991229171525,0.433520515686681,1.29555555555556,0.476673928456167,0.348852023690255,0.267549477411816,0.0729925388598666,22.1832947488134,1.24927457315376,0.087459747669948,102.602170371913,0.30828220805256,5.56059973839207,28.115204695113,,1.0
NGC1851,20,100,48,0.362540107235352,0.102436202244544,0.337302366128765,0.215325691063415,1.46778711484594,0.45414383913358,0.225286318532996,0.256033059959014,0.181948154443169,10.1253510819432,0.689331467791407,0.171420538165409,63.3232350176701,0.334961102548008,9.31692379355553,21.3354596510096,0.709604624984645,1.0
NGC2298,6,100,11,0.33993556005075,0.392181942282205,0.618836137980274,0.66262034376018,1.30263157894737,0.521590965906764,0.364408541462084,0.264079234868703,0.0831071739505376,24.664930822273,7.20400583732215,0.0655968218570356,368.141575544258,0.581870688764397,3.74136044670969,59.7001696427136,0.628117010040285,0.910580143418936
NGC2808,24,100,47,0.271036627770466,0.11817493233494,0.125233471083571,0.336695335884797,1.32318710832587,0.54500735036695,0.0816613685719114,0.613078863769807,0.283950775753299,63.8603901269627,0.514108636199749,0.239472162958329,100.554726325026,0.395342874647052,13.6007190044582,44.971205430589,0.630729850463257,1.0
NGC3201,6,100,38,0.130264181146246,0.116212277091907,0.249148877299482,0.240623216162617,1.1325,0.706257348351897,0.181677833733296,,,,0.353364352864305,0.178595170877707,218.897045807205,0.298808996163465,4.3285058758755,148.100069616565,0.628149763212873,0.9306048591021
NGC4590,5,100,12,0.251439130718374,0.109511111111111,0.1587160107428,0.435797170329423,1.15919629057187,0.546400321549551,0.0991952823373976,,,,0.519602839113011,0.0837677801695987,86.9547292085186,0.397674331050372,3.8926676285013,64.7734098687534,0.6324277393923,0.889139705019461
NGC4833,12,100,22,0.184248828583208,0.130162456747405,0.238174034496944,0.204667640691799,1.22379603399433,0.668249300635523,0.075760912707283,0.185352608094642,0.202771922802629,36.5002375875286,0.390666976323802,0.204831963526635,80.6248859625049,0.380464929560999,6.0857753161311,77.9145164180134,,1.0
NGC5024,17,100,28,0.312165620945304,0.207168324263464,0.646219942525442,0.424334373930236,1.26388888888889,0.539370338391384,0.296119120567051,0.26699080961635,0.0808785014645513,34.785205319209,0.895589310354933,0.0653126281045683,203.771641389769,0.462135078904545,6.92743453491761,61.7462781667251,0.501557065241009,1.0
NGC5053,5,100,3,0.416537091691607,0.0547845142439738,4.68557720361786,0.746057563954538,1.48979591836735,0.509899620187786,0.847059377187996,0.965918600115269,0.0410474895490543,70.7419052278601,1.07168437537164,0.0218621679533542,143.449197304661,,,,0.624433092993059,0.628716714841468
NGC5272,17,100,35,0.364852814831338,0.0951814396192744,0.932501571154197,0.489010985738575,1.24624624624625,0.501486180815942,0.148925339683702,0.144725916222657,0.170862139766724,21.863171243293,1.73904375766272,0.116361008880915,608.652396521695,0.410408141866515,8.00972828354256,64.0901558626297,0.547231354926131,1.0
NGC5466,5,100,6,0.341395275722842,0.117539026629936,2.01315552178286,0.63336193190807,1.39784946236559,0.580308565432198,0.790469126438856,0.396757783840794,0.0332655777338189,115.397327846734,2.07006362181251,0.0249924013449403,320.553630320755,0.28526673201629,233.287485641259,2.24020550469998e-06,0.517440355898382,0.74767439061061
NGC5897,5,100,12,0.254669350391266,0.334423305588585,0.314432539101733,0.422817928576077,1.23558484349259,0.596478627768127,0.275668465365551,0.173399784712054,0.0661783031170811,29.489874034058,1.94601235836606,0.0449043559329884,386.933796209916,0.378977250649475,3.7921443981187,68.2268944784857,,0.889139705019461
NGC5904,19,100,44,0.162710009314967,0.0591007635026866,0.941895320525194,0.137232664704149,1.06336489439184,0.705360880373381,0.230091963206608,,,,0.337530825662422,0.250499605561853,39.0710468309009,0.504534269566748,7.35196380258158,134.970261924919,0.580126425391735,1.0
NGC5927,17,100,31,0.143192249119528,0.120285374554102,0.194040999365154,0.209883870513246,1.13903743315508,0.723967647171523,0.114368712904558,0.114043545511121,0.155223992330981,47.5980046320631,0.499445811059328,0.150395389430529,196.577850696501,0.604745475644367,6.01073661844361,170.610641164537,,1.0
