cluster_id,theta_bayes_BC,theta_bayes_err,theta_bayes_QA,bayes_latent_acceptance_proxy
NGC0104,0.569507323949958,0.179773977636611,0.569507323949958,1000
NGC0288,-0.24212010077037,0.455339765522442,-0.228305223571073,1000
NGC0362,-0.236269847938674,0.224034358590387,-0.236269847938674,1000
NGC1261,1.32167235772287,0.378165663070046,1.32167235772287,1000
NGC1851,1.51875229487862,0.324953419679501,1.51875229487862,1000
NGC2298,1.14082432345323,0.409707037943937,1.08862388812227,1000
NGC2808,0.614971318635829,0.24363265111587,0.614971318635829,1000
NGC3201,-1.01902083127382,0.216214149947923,-0.983027619414247,1000
NGC4590,0.303133691738585,0.381416545515323,0.285837503966426,1000
NGC4833,-0.487331494263138,0.240743544587664,-0.487331494263138,1000
NGC5024,0.796486542073674,0.409752824036195,0.796486542073674,1000
NGC5053,1.76698312808896,0.493408877511174,1.40107023221563,1000
NGC5272,1.23546103057283,0.321360243930794,1.23546103057283,1000
NGC5466,1.13211625428378,0.460349253302041,0.978920173503866,1000
NGC5897,0.342409311806989,0.481099272088197,0.322872137572141,1000
NGC5904,-0.743153489961665,0.228386981655162,-0.743153489961665,1000
NGC5927,-0.962712250567967,0.228921308576548,-0.962712250567967,1000
NGC5986,0.474078309500617,0.353853427414349,0.474078309500617,1000
NGC6093,1.14362449531573,0.299340753624003,1.14362449531573,1000
NGC6101,-0.925151074842321,0.302331323714559,-0.915143264466495,1000
NGC6121,-0.566524022054535,0.214056029484274,-0.546513617435173,1000
NGC6144,-0.372990700279551,0.391079633325283,-0.32879303203812,1000
NGC6171,-0.842372167498621,0.317245705032023,-0.812618428459266,1000
NGC6205,-0.0647197812665728,0.22173794714338,-0.0647197812665728,1000
NGC6218,-0.0823685087024308,0.270119773290331,-0.0823685087024308,1000
NGC6254,-0.343702864036236,0.246332123154703,-0.343702864036236,1000
NGC6304,-1.4020987064476,0.253629614901034,-1.4020987064476,1000
NGC6341,0.414129516112042,0.255676483663253,0.414129516112042,1000
NGC6352,-0.916099499974223,0.317498313358442,-0.874181746537496,1000
NGC6362,-0.565412109286836,0.283824552921057,-0.565412109286836,1000
NGC6366,-2.09336247912194,0.239740187629394,-1.85181818329165,1000
NGC6397,-0.878030349531423,0.206371947962195,-0.86349640615277,1000
